globalseqno,time,source_type,transport,transcode,host,servicename
acff3ec5-a33b-4b22-a5c1-a9dd5d6fdf5d,2017-08-05T05:25:00.477Z,pmstoudaproxy,null,null,x-shcs-bsc-v31,null
5c7ee2e3-cc2e-44ac-b482-35c5f09096ba,2017-08-05T05:25:00.520Z,pmstoudaproxy,null,null,x-shcs-bsc-v31,null
4c570771-cff7-4e47-95f1-0ebe29e03acb,2017-08-05T05:26:26.818Z,pmstoudaproxy,null,null,x-shcs-bsc-v31,null
a7d9704a-054a-45eb-b982-b5cbc9008f3d,2017-08-05T05:05:55.757Z,pmstoudaproxy,null,null,x-shcs-bsc-v31,null
a7d9704a-054a-45eb-b982-b5cbc9008f3d,2017-08-05T05:05:55.768Z,pmstoudaproxy,null,null,x-shcs-bsc-v31,null
a7d9704a-054a-45eb-b982-b5cbc9008f3d,2017-08-05T05:05:55.774Z,pmstoudaproxy,null,null,x-shcs-bsc-v31,null
3e667c4b-17fe-47fd-8b49-0d8f76ef3cfb,2017-08-05T05:22:54.684Z,pmstoudaproxy,null,null,x-shcs-bsc-v31,null
3e667c4b-17fe-47fd-8b49-0d8f76ef3cfb,2017-08-05T05:22:54.701Z,pmstoudaproxy,null,null,x-shcs-bsc-v31,null
0b47eafc-5a12-42ca-a758-2faeb0259fbc,2017-08-05T05:24:57.626Z,pmstoudaproxy,null,null,x-shcs-bsc-v31,null
0b47eafc-5a12-42ca-a758-2faeb0259fbc,2017-08-05T05:24:57.637Z,pmstoudaproxy,null,null,x-shcs-bsc-v31,null
0b47eafc-5a12-42ca-a758-2faeb0259fbc,2017-08-05T05:24:57.644Z,pmstoudaproxy,null,null,x-shcs-bsc-v31,null
acff3ec5-a33b-4b22-a5c1-a9dd5d6fdf5d,2017-08-05T05:25:00.494Z,pmstoudaproxy,null,null,x-shcs-bsc-v31,null
4c570771-cff7-4e47-95f1-0ebe29e03acb,2017-08-05T05:26:26.846Z,pmstoudaproxy,null,null,x-shcs-bsc-v31,null
4c570771-cff7-4e47-95f1-0ebe29e03acb,2017-08-05T05:26:26.853Z,pmstoudaproxy,null,null,x-shcs-bsc-v31,null
ab824632-a7c6-4c57-9226-91ba81a3ff99,2017-08-05T05:26:27.832Z,pmstoudaproxy,null,null,x-shcs-bsc-v31,null
6c5f0600-a4d8-45d3-8111-cfd12da15d96,2017-08-05T05:21:07.032Z,pmstoudaproxy,null,null,x-shcs-bsc-v31,null
7dfe2af2-bae0-4b43-bec9-8ae55c0b7a8d,2017-08-05T05:21:08.404Z,pmstoudaproxy,null,null,x-shcs-bsc-v31,null
